column1,Benefit_per_order,Order_City,Order_Country,Order_Customer_Id,order_date_DateOrders,Order_Id,Order_Item_Cardprod_Id,Order_Item_Discount,Order_Item_Discount_Rate,Order_Item_Id,Order_Item_Product_Price,Order_Item_Profit_Ratio,Order_Item_Quantity,Order_Item_Total,Order_Profit_Per_Order,Order_Region,Order_State,Order_Status,Order_Zipcode,Sales,Type
19400,8.0600004196167,New York City,Estados Unidos,2467,2016-04-11 18:37:00.0000000,31977,565,8.399999618530273,0.03999999910593033,79930,70.0,0.03999999910593033,3,201.6000061,8.06000042,East of USA,Nueva York,PENDING_PAYMENT,10024,210,PAYMENT
19407,6.25,New York City,Estados Unidos,7954,2016-07-28 00:35:00.0000000,39324,627,19.200000762939453,0.1599999964237213,98165,39.99000168,0.05999999865889549,3,100.7699966,6.25,East of USA,Nueva York,PENDING_PAYMENT,10035,119.97000122070312,PAYMENT
19572,9.100000381469727,New York City,Estados Unidos,4228,2016-08-23 15:16:00.0000000,41147,502,18,0.09000000357627869,102715,50.0,0.05000000074505806,4,182.0,9.100000381,East of USA,Nueva York,PENDING_PAYMENT,10009,200,PAYMENT
46549,-319.3900146484375,New York City,Estados Unidos,1974,2016-07-24 11:48:00.0000000,39082,403,11.699999809265137,0.09000000357627869,97557,129.9900055,-2.700000047683716,1,118.2900009,-319.3900146,East of USA,Nueva York,PENDING_PAYMENT,10009,129.99000549316406,PAYMENT
46560,34.31999969482422,New York City,Estados Unidos,4298,2016-05-15 12:36:00.0000000,34289,403,15.600000381469727,0.11999999731779099,85629,129.9900055,0.30000001192092896,1,114.3899994,34.3199997,East of USA,Nueva York,PENDING_PAYMENT,10024,129.99000549316406,PAYMENT
46568,55.40999984741211,New York City,Estados Unidos,3058,2016-07-17 23:33:00.0000000,38636,403,16.899999618530273,0.12999999523162842,96445,129.9900055,0.49000000953674316,1,113.0899963,55.40999985,East of USA,Nueva York,PENDING_PAYMENT,10009,129.99000549316406,PAYMENT
46576,31.670000076293945,New York City,Estados Unidos,2299,2016-04-20 14:55:00.0000000,32583,403,20.799999237060547,0.1599999964237213,81498,129.9900055,0.28999999165534973,1,109.1900024,31.67000008,East of USA,Nueva York,PENDING_PAYMENT,10035,129.99000549316406,PAYMENT
46596,9.75,New York City,Estados Unidos,9615,2016-07-14 11:28:00.0000000,38396,403,32.5,0.25,95818,129.9900055,0.10000000149011612,1,97.48999786,9.75,East of USA,Nueva York,PENDING_PAYMENT,10009,129.99000549316406,PAYMENT
46628,9.210000038146973,New York City,Estados Unidos,5511,2016-05-04 20:30:00.0000000,33558,885,1.3700000047683716,0.05999999865889549,83767,24.98999977,0.38999998569488525,1,23.62000084,9.210000038,East of USA,Nueva York,PENDING_PAYMENT,10035,24.989999771118164,PAYMENT
46633,143.99000549316406,New York City,Estados Unidos,9615,2016-07-14 11:28:00.0000000,38396,957,0,0,95819,299.980011,0.47999998927116394,1,299.980011,143.9900055,East of USA,Nueva York,PENDING_PAYMENT,10009,299.9800109863281,PAYMENT
46650,25.049999237060547,New York City,Estados Unidos,2013,2016-05-02 06:30:00.0000000,33381,957,12,0.03999999910593033,83373,299.980011,0.09000000357627869,1,287.980011,25.04999924,East of USA,Nueva York,PENDING_PAYMENT,10009,299.9800109863281,PAYMENT
