Order_City,Order_Id,Order_Item_Cardprod_Id,Order_Item_Product_Price,order_date_DateOrders,Order_Item_Total,Order_Item_Profit_Ratio
New York City,Nueva York,924,15.98999977,2016-05-29 08:44:00.0000000,15.35000038,0.3400000035762787
Troy,Nueva York,403,129.9900055,2016-04-02 15:39:00.0000000,127.3899994,0.10999999940395355
Troy,Nueva York,403,129.9900055,2016-04-02 15:39:00.0000000,126.0899963,0.3400000035762787
New York City,Nueva York,403,129.9900055,2016-04-19 23:30:00.0000000,113.0899963,0.3499999940395355
New York City,Nueva York,403,129.9900055,2016-04-17 06:20:00.0000000,109.1900024,0.2800000011920929
New York City,Nueva York,403,129.9900055,2016-04-17 06:20:00.0000000,107.8899994,0.25999999046325684
Watertown,Nueva York,403,129.9900055,2016-05-14 12:47:00.0000000,107.8899994,0.3499999940395355
New York City,Nueva York,365,59.99000168,2016-04-14 03:01:00.0000000,47.99000168,0.15000000596046448
New York City,Nueva York,403,129.9900055,2016-05-05 09:28:00.0000000,103.9899979,0.47999998927116394
New York City,Nueva York,957,299.980011,2016-04-12 04:46:00.0000000,272.980011,0.47999998927116394
New York City,Nueva York,502,50.0,2016-04-18 19:28:00.0000000,85.0,0.44999998807907104
New York City,Nueva York,191,99.98999786,2016-04-18 19:28:00.0000000,89.98999786,0.3700000047683716
Troy,Nueva York,825,31.98999977,2016-04-02 15:39:00.0000000,62.70000076,0.44999998807907104
New York City,Nueva York,627,39.99000168,2016-05-17 16:27:00.0000000,151.1600037,0.25
New York City,Nueva York,403,129.9900055,2016-05-17 16:27:00.0000000,127.3899994,0.15000000596046448
New York City,Nueva York,365,59.99000168,2016-05-26 11:22:00.0000000,143.9799957,0.47999998927116394
Long Beach,Nueva York,403,129.9900055,2016-05-03 02:07:00.0000000,122.8399963,0.1899999976158142
New York City,Nueva York,627,39.99000168,2016-04-05 15:28:00.0000000,115.1699982,0.30000001192092896
Long Beach,Nueva York,403,129.9900055,2016-05-03 02:07:00.0000000,120.8899994,0.28999999165534973
